0.50 0.33:  0.3351, [ -0.250,   0.224]
0.50 0.37:  0.3358, [ -0.253,   0.220]
0.50 0.41:  0.3786, [ -0.329,   0.187]
0.50 0.45:  0.7018, [ -0.392,   0.582]
0.50 0.50:  0.5475, [ -0.323,   0.442]
0.50 0.54:  0.3373, [ -0.185,   0.282]
0.50 0.58:  0.4726, [ -0.155,   0.446]
0.50 0.62:  0.8926, [ -0.501,   0.739]
0.50 0.66:  0.8631, [ -0.074,   0.860]
0.50 0.70:  1.1026, [ -0.338,   1.050]
0.50 0.74:  1.1909, [ -0.448,   1.103]
0.50 0.79:  1.2093, [ -0.515,   1.094]
0.54 0.00:  0.5715, [ -0.553,   0.144]
0.54 0.04:  0.3194, [ -0.308,   0.085]
0.54 0.08:  0.3463, [ -0.322,   0.127]
0.54 0.12:  0.2345, [ -0.195,   0.130]
0.54 0.17:  0.1989, [ -0.172,   0.099]
0.54 0.21:  0.2906, [ -0.259,   0.132]
0.54 0.25:  0.3097, [ -0.265,   0.160]
0.54 0.29:  0.3584, [ -0.326,   0.149]
0.54 0.33:  0.3215, [ -0.285,   0.149]
0.54 0.37:  0.2955, [ -0.236,   0.177]
0.54 0.41:  0.4019, [ -0.305,   0.261]
0.54 0.45:  0.4808, [ -0.301,   0.375]
0.54 0.50:  0.4815, [ -0.254,   0.409]
0.54 0.54:  0.5142, [ -0.228,   0.461]
0.54 0.58:  0.5873, [ -0.305,   0.502]
0.54 0.62:  0.7227, [ -0.356,   0.629]
0.54 0.66:  0.8693, [ -0.351,   0.795]
0.54 0.70:  1.1198, [ -0.509,   0.998]
0.54 0.74:  1.2060, [ -0.526,   1.085]
0.54 0.79:  1.3325, [ -0.580,   1.200]
0.58 0.00:  0.5387, [ -0.527,   0.112]
0.58 0.04:  0.4076, [ -0.399,   0.082]
0.58 0.08:  0.2190, [ -0.189,   0.110]
0.58 0.12:  0.2321, [ -0.192,   0.130]
0.58 0.17:  0.1909, [ -0.164,   0.097]
0.58 0.21:  0.1824, [ -0.161,   0.085]
0.58 0.25:  0.1815, [ -0.159,   0.088]
0.58 0.29:  0.2797, [ -0.250,   0.126]
0.58 0.33:  0.1831, [ -0.168,   0.073]
0.58 0.37:  0.3021, [ -0.252,   0.167]
0.58 0.41:  0.2639, [ -0.252,   0.079]
0.58 0.45:  0.3328, [ -0.278,   0.184]
0.58 0.50:  0.3946, [ -0.310,   0.244]
0.58 0.54:  0.5136, [ -0.399,   0.323]
